,Method,Featureamount,Best parameters,Re-Scaled,Accuracy,Precision 0,Precision 1,Recall 0,Recall 1,f1 score 0,f1 score 1,support 0,support 1,TNR,FPR,FNR,TPR,WSVC
120,1DConvolutional Autoencoder,1,1,1,0.5583941605839416,0.859882005899705,0.1900900900900901,0.5646489104116222,0.5261845386533666,0.6816720257234727,0.2792852415618795,2065,401,1166,899,190,211,1.0
121,1DConvolutional Autoencoder,2,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
122,1DConvolutional Autoencoder,2,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
123,1DConvolutional Autoencoder,2,1,1,0.8369829683698297,0.8373225152129817,0.0,0.9995157384987894,0.0,0.9112582781456954,0.0,2065,401,2064,1,401,0,0.0
124,1DConvolutional Autoencoder,2,1,1,0.5948905109489051,0.890190336749634,0.22818181818181818,0.588861985472155,0.6259351620947631,0.7088312445351209,0.3344437041972019,2065,401,1216,849,150,251,1.0
125,1DConvolutional Autoencoder,3,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
126,1DConvolutional Autoencoder,3,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
127,1DConvolutional Autoencoder,3,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
128,1DConvolutional Autoencoder,3,1,1,0.5685320356853204,0.9099099099099099,0.23373493975903614,0.5380145278450363,0.7256857855361596,0.6762020693852709,0.353584447144593,2065,401,1111,954,110,291,1.0
129,1DConvolutional Autoencoder,4,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
130,1DConvolutional Autoencoder,4,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
131,1DConvolutional Autoencoder,4,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
132,1DConvolutional Autoencoder,4,1,1,0.5770478507704785,0.8973561430793157,0.22796610169491524,0.5588377723970944,0.6708229426433915,0.6887496269770218,0.3402909550917141,2065,401,1154,911,132,269,1.0
133,1DConvolutional Autoencoder,5,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
134,1DConvolutional Autoencoder,5,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
135,1DConvolutional Autoencoder,5,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
136,1DConvolutional Autoencoder,5,1,1,0.5506893755068938,0.8831064851881505,0.209531635168447,0.5341404358353511,0.6359102244389028,0.6656608328304164,0.3152039555006181,2065,401,1103,962,146,255,1.0
137,1DConvolutional Autoencoder,6,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
138,1DConvolutional Autoencoder,6,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
139,1DConvolutional Autoencoder,6,1,1,0.8390105433901054,0.838748984565394,1.0,1.0,0.00997506234413965,0.9123039540534571,0.019753086419753086,2065,401,2065,0,397,4,0.0
140,1DConvolutional Autoencoder,6,1,1,0.6192214111922141,0.9115497076023392,0.2550091074681239,0.6038740920096852,0.6982543640897756,0.7264782988639675,0.37358238825883927,2065,401,1247,818,121,280,1.0
141,1DConvolutional Autoencoder,7,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
142,1DConvolutional Autoencoder,7,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
